DATE,MSPNHSUS
1997-04-01,145333.333333333333
1997-07-01,145400.000000000000
1997-10-01,144133.333333333333
1998-01-01,152233.333333333333
1998-04-01,149733.333333333333
1998-07-01,153266.666666666667
1998-10-01,152666.666666666667
1999-01-01,156800.000000000000
1999-04-01,157866.666666666667
1999-07-01,158733.333333333333
1999-10-01,165966.666666666667
2000-01-01,163666.666666666667
2000-04-01,162466.666666666667
2000-07-01,169033.333333333333
2000-10-01,171000.000000000000
2001-01-01,168900.000000000000
2001-04-01,176633.333333333333
2001-07-01,171700.000000000000
2001-10-01,173200.000000000000
2002-01-01,187200.000000000000
2002-04-01,186233.333333333333
2002-07-01,177333.333333333333
2002-10-01,189333.333333333333
2003-01-01,184600.000000000000
2003-04-01,190966.666666666667
2003-07-01,190900.000000000000
2003-10-01,199066.666666666667
2004-01-01,212900.000000000000
2004-04-01,216566.666666666667
2004-07-01,214033.333333333333
2004-10-01,227766.666666666667
2005-01-01,229900.000000000000
2005-04-01,230233.333333333333
2005-07-01,236566.666666666667
2005-10-01,240133.333333333333
2006-01-01,244833.333333333333
2006-04-01,246133.333333333333
2006-07-01,236233.333333333333
2006-10-01,245066.666666666667
2007-01-01,255933.333333333333
2007-04-01,241000.000000000000
2007-07-01,241000.000000000000
2007-10-01,237033.333333333333
2008-01-01,235666.666666666667
2008-04-01,236666.666666666667
2008-07-01,227833.333333333333
2008-10-01,221466.666666666667
2009-01-01,207800.000000000000
2009-04-01,218733.333333333333
2009-07-01,212633.333333333333
2009-10-01,218833.333333333333
2010-01-01,221633.333333333333
2010-04-01,219433.333333333333
2010-07-01,222233.333333333333
2010-10-01,221666.666666666667
2011-01-01,226900.000000000000
2011-04-01,228966.666666666667
2011-07-01,222166.666666666667
2011-10-01,219233.333333333333
2012-01-01,233800.000000000000
2012-04-01,236066.666666666667
2012-07-01,248400.000000000000
2012-10-01,250166.666666666667
2013-01-01,258033.333333333333
2013-04-01,267600.000000000000
2013-07-01,262433.333333333333
2013-10-01,272300.000000000000
2014-01-01,273500.000000000000
2014-04-01,282366.666666666667
2014-07-01,277866.666666666667
2014-10-01,298933.333333333333
2015-01-01,288400.000000000000
2015-04-01,289033.333333333333
2015-07-01,294933.333333333333
2015-10-01,302566.666666666667
2016-01-01,299133.333333333333
2016-04-01,308233.333333333333
2016-07-01,303700.000000000000
2016-10-01,314933.333333333333
2017-01-01,311633.333333333333
2017-04-01,316633.333333333333
2017-07-01,322866.666666666667
2017-10-01,335400.000000000000
2018-01-01,330733.333333333333
2018-04-01,313866.666666666667
2018-07-01,325733.333333333333
2018-10-01,322166.666666666667
2019-01-01,312266.666666666667
2019-04-01,321166.666666666667
2019-07-01,317000.000000000000
2019-10-01,326633.333333333333
2020-01-01,329633.333333333333
2020-04-01,322766.666666666667
2020-07-01,333233.333333333333
2020-10-01,354333.333333333333
2021-01-01,364933.333333333333
2021-04-01,380566.666666666667
2021-07-01,407833.333333333333
2021-10-01,422533.333333333333
2022-01-01,431266.666666666667
2022-04-01,447200.000000000000
2022-07-01,465400.000000000000
2022-10-01,479533.333333333333
2023-01-01,434766.666666666667
2023-04-01,414433.333333333333
